1,Fairbank,CapitalOne,249.42,55,MBA
2,Semel,Yahoo,230.55,63,MBA
3,Silverman,Cendant,139.96,65,Law
4,Karatz,KBHome,135.53,60,Law
5,Fuld,LehmanBros,122.67,60,MBA
6,Irani,OccidentalPetro,80.73,71,PhD
7,Ellison,Oracle,75.33,61,None
8,Thompson,Symantec,71.84,57,Masters
9,Crawford,CaremarkRx,69.66,57,Bachelor
10,Mozilo,Countrywide,68.96,67,Bachelor
11,Chambers,CiscoSystems,62.99,56,MBA
12,Dreier,RylandGroup,56.47,58,Bachelor
13,Frankfort,Coach,55.99,60,MBA
14,Hovnanian,HovnanianEnt,47.83,48,MBA
15,Drosdick,Sunoco,46.19,62,Masters
16,Toll,TollBrothers,41.31,65,Law
17,Ulrich,Target,39.64,63,Bachelor
18,Rollins,Dell,39.32,53,MBA
19,Cazalot,MarathonOil,37.48,55,Bachelor
20,Novak,YumBrands,37.42,53,Bachelor
21,Papa,EOGResources,36.54,59,MBA
22,Termeer,Genzyme,36.38,60,MBA
23,Adkerson,FreeportCopper,35.41,59,MBA
24,Sharer,Amgen,34.49,58,Masters
25,Sugarman,IStar,32.94,43,MBA
26,David,UnitedTech,32.73,64,MBA
27,Simpson,XTOEnergy,32.19,57,MBA
28,Lanni,MGMMirage,31.54,63,MBA
29,Jacobs,Qualcomm,31.44,64,PhD
30,Bollenbach,HiltonHotels,31.43,63,MBA
31,Mulva,ConocoPhillips,31.34,59,MBA
32,Mack,MorganStanley,31.23,61,Bachelor
33,Williams,Aetna,30.87,57,Masters
34,Lesar,Halliburton,29.36,53,MBA
35,Hanway,Cigna,28.82,54,MBA
36,Cayne,BearStearns,28.4,72,None
37,Amos,Aflac,27.97,54,Bachelor
38,Thiry,DaVita,27.89,50,MBA
39,Rowe,Exelon,26.9,60,Law
40,Cornelius,Guidant,25.18,62,MBA
